,BM_pheno_1,WN_pheno_1
PSM047,-0.124505620611014,-0.0472202177363308
PSM163,-0.146238150021362,-0.0856279609727512
PSM268,-0.147624581652347,-0.0490561754194691
PSM194,-0.128732162684082,-0.0496201218367066
PSM083,-0.12559171283004,0.00594163211494106
PSM113,-0.136062665264358,-0.071953526507889
PSM045,0.0549399950453435,-0.0621738846563882
PSM278,0.0533059065190115,0.00479450619806531
PSM270,0.0383896103787018,-0.0557585161571161
PSM123,0.0513162885747921,-0.0523339477045361
PSM225,0.0477000606992357,0.0426372060940295
PSM183,0.0787553768073709,0.000850492541872281
PSM112,0.0267640794468103,-0.048949492146693
PSM258,0.0426372060940295,-0.0400905061514165
PSM002,-0.0626226648598608,0.00431023059017038
PSM065,-0.0607271426887956,-0.0168887797451455
PSM043,-0.0600167664474231,-0.0338829587448742
PSM103,-0.0603990383448048,0.00350404948297789
PSM105,-0.0610135930466075,-0.0475359777614902
PSM116,-0.0641932763217784,0.0048382892908066
PSM135,-0.0590928143949004,-0.0057001002876629
PSM227,-0.0597579514175152,-0.147624581652347
PSM161,-0.0621738846563882,-0.0227258697634544
PSM068,-0.0629036049808969,-0.0985087567122641
PSM250,-0.0603594352084094,-0.00130552968132632
PSM024,-0.0559996710423103,-0.0610135930466075
PSM231,-0.0585502514950588,-0.0486815136798884
PSM030,-0.0676928705977055,0.0787553768073709
PSM050,-0.0660071458490217,-0.014357686130509
PSM301,-0.0691306171653716,-0.0785460377635031
PSM151,-0.0681290951749229,-0.0147193264132475
PSM143,-0.0660172827387037,0.00640705940561235
PSM234,-0.0667750458711381,0.0089945148909337
PSM099,-0.0611567423816195,-0.023119269844375
PSM203,-0.0611236410094954,-0.0548889124258066
PSM127,-0.0620755429444055,-0.0587231011518995
PSM249,-0.0634051161416169,0.00390133432739896
PSM155,-0.056403037240351,0.026479284263345
PSM260,-0.0638975726857779,0.0274768124719819
PSM130,-0.0534041972108912,-0.00283481801732067
PSM215,-0.054345198758737,-0.0311490663584072
PSM004,-0.0544065982623644,-0.110185119965642
PSM243,-0.0587231011518995,-0.0495842822789024
PSM014,-0.0478763896273918,-0.0520032113354946
PSM040,-0.0546398738150964,0.0309108361388898
PSM100,-0.0472167573714699,-0.12559171283004
PSM078,-0.0524655171888804,-0.0133107466691058
PSM262,-0.053722674442098,-0.0756764202913339
PSM274,-0.0526047849271191,-0.0256635737022357
PSM200,-0.0496201218367066,-0.00441973585123695
PSM219,-0.048949492146693,-0.0282268312616389
PSM235,-0.0495370343504358,-0.0448052425997921
PSM275,-0.0517561314160343,-0.054345198758737
PSM212,-0.0470332423642892,-0.00289819734427129
PSM228,-0.0486341828872225,-0.107450822524751
PSM149,-0.0448052425997921,-0.0506882213873265
PSM214,-0.0472202177363308,-0.0377350999388771
PSM013,-0.0475359777614902,-0.0334580064439137
PSM220,-0.0429408467917458,-0.0270316254120144
PSM213,-0.050422827673369,-0.0349989655828924
PSM246,-0.0506882213873265,0.0119211643018241
PSM118,-0.0502508431288815,-0.0478763896273918
PSM261,-0.0495842822789024,-0.0173138147592351
PSM204,-0.0502516166334637,-0.0291011608512319
PSM102,-0.0486815136798884,0.00246838875394408
PSM181,-0.0511544972080245,-0.0348427337352287
PSM279,-0.0505297188179829,0.00532345400346029
PSM179,-0.0432924480037658,-0.0468921065761423
PSM271,-0.04682226851889,-0.0793629542353155
PSM240,-0.0522617086074448,-0.0486341828872225
PSM154,-0.0523339477045361,-0.0681290951749229
PSM107,-0.0535288098438631,0.00217371528073574
PSM162,-0.0548889124258066,-0.128732162684082
PSM239,-0.0511143858094739,0.00172139227855517
PSM129,-0.0522823841261294,0.00325019434444862
PSM145,-0.0520032113354946,0.0513162885747921
PSM193,-0.0490561754194691,-0.0230844581358442
PSM208,-0.0133107466691058,-0.0119089439887326
PSM073,-0.00361610917306445,-0.0660071458490217
PSM058,-0.0728320227664567,0.0224665042011424
PSM267,-0.0743391768477831,-0.0603594352084094
PSM104,-0.0729907964783503,0.0125259355445793
PSM084,-0.0249201589706738,0.00627242137322021
PSM087,-0.105004355201767,-0.0429408467917458
PSM273,-0.0907901132734923,-0.0149554206085604
PSM198,-0.107450822524751,-0.0127258544728973
PSM216,-0.0804224084135698,0.0307583712417549
PSM090,-0.0856279609727512,-0.00931635703808534
PSM182,-0.0959018541769554,-0.100467439941563
PSM051,-0.0557585161571161,-0.0691306171653716
PSM192,-0.0591546706145367,-0.0227649585803535
PSM029,-0.0588527213130096,-0.0243001495174689
