Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
Lc_1	L. crispatus	0	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NA	-Inf	0
