Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Lc_1	L. crispatus	3	2040000	6120000	8361	8358	3	0	3	6196	6194	2	2132	2131	1	53	53	0	5332.666666666667	5981	6246	4
Lc_1	L. crispatus	3	2040000	6120000	23149	23102	47	0	47	17445	17404	41	5672	5657	15	114	114	0	14009.333333333334	15868	19793	23
Lc_1	L. crispatus	3	2040000	6120000	24487	24450	37	0	37	18633	18602	31	5837	5824	13	94	94	0	15188.666666666666	19701	22018	15
Lc_1	L. crispatus	3	2040000	6120000	4723	4723	0	0	0	3455	3455	0	1250	1250	0	26	26	0	2740	3335	3795	1
Lc_1	L. crispatus	3	2040000	6120000	5875	5875	0	0	0	4263	4263	0	1590	1590	0	34	34	0	3785.6666666666665	4044	4644	2
Lc_1	L. crispatus	3	2040000	6120000	16331	16329	2	0	2	12253	12251	2	4056	4056	0	75	75	0	10596	15767	15928	17
Lc_1	L. crispatus	3	2040000	6120000	20999	20986	13	0	13	15868	15856	12	5115	5113	2	88	87	1	11747	13081	19515	17
Lc_1	L. crispatus	3	2040000	6120000	5335	5335	0	0	0	3869	3869	0	1442	1442	0	36	36	0	3160.6666666666665	3454	3918	2
Lc_1	L. crispatus	3	2040000	6120000	26217	26111	106	0	106	19696	19601	95	6487	6459	28	112	112	0	16130.666666666666	16020	16504	23
Lc_1	L. crispatus	3	2040000	6120000	23827	23794	33	0	33	17953	17926	27	5846	5835	11	104	104	0	15025.333333333334	20471	21237	17
