Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Cd_4	C. difficile	31	4300000	133300000	84557	83897	658	2	660	58878	58343	535	26472	26222	250	270	267	3	10847.913978494624	3017	67307	6864
Cd_4	C. difficile	31	4300000	133300000	79443	79009	433	1	434	55983	55622	361	24258	24106	152	234	232	2	6098.492473118279	2086	67498	6700
Cd_4	C. difficile	31	4300000	133300000	95687	94460	1219	8	1227	67129	66125	1004	29417	29008	409	307	304	3	12038.047311827957	2832	72037	7099
Cd_4	C. difficile	31	4300000	133300000	81651	81130	519	2	521	57074	56642	432	25356	25161	195	252	251	1	6437.055913978495	2392	67111	6744
Cd_4	C. difficile	31	4300000	133300000	81901	81366	533	2	535	57476	57038	438	25192	25012	180	252	248	4	6510.169892473118	2250	67784	6824
Cd_4	C. difficile	31	4300000	133300000	83705	83095	607	3	610	58385	57892	493	26096	25884	212	270	268	2	6879.113978494624	2955	66953	6837
Cd_4	C. difficile	31	4300000	133300000	80414	79911	500	3	503	56636	56222	414	24558	24377	181	253	249	4	6604.445161290322	2615	67137	6791
Cd_4	C. difficile	31	4300000	133300000	36297	36082	215	0	215	23148	22976	172	13379	13297	82	193	191	2	3897.847311827957	2806	21064	3543
Cd_4	C. difficile	31	4300000	133300000	19839	19740	98	1	99	12011	11928	83	8001	7968	33	122	120	2	2592.7913978494626	2666	5674	1810
Cd_4	C. difficile	31	4300000	133300000	82344	81781	561	2	563	57604	57143	461	25548	25340	208	253	250	3	6286.5053763440865	2202	67104	6906
