Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efm_1	E. faecium	15	2900000	43500000	7160	7112	48	0	48	5321	5282	39	1828	1816	12	35	35	0	2932.961904761905	4027	4556	2
Efm_1	E. faecium	15	2900000	43500000	8516	8461	55	0	55	6442	6396	46	2062	2051	11	37	37	0	3062.4857142857145	3913	5322	2
Efm_1	E. faecium	15	2900000	43500000	7269	7233	36	0	36	5359	5330	29	1895	1886	9	38	38	0	2117.9142857142856	1147	5310	2
Efm_1	E. faecium	15	2900000	43500000	8825	8770	55	0	55	6595	6549	46	2220	2209	11	35	35	0	3345.7809523809524	4049	5328	2
Efm_1	E. faecium	15	2900000	43500000	8699	8631	68	0	68	6557	6499	58	2127	2112	15	41	41	0	3150.295238095238	3718	5349	3
Efm_1	E. faecium	15	2900000	43500000	8738	8669	69	0	69	6573	6514	59	2153	2138	15	39	39	0	3160.980952380952	3999	5337	3
Efm_1	E. faecium	15	2900000	43500000	6883	6848	35	0	35	5145	5117	28	1729	1722	7	32	32	0	2952.1047619047617	3866	4822	3
Efm_1	E. faecium	15	2900000	43500000	8610	8546	64	0	64	6505	6450	55	2093	2081	12	38	38	0	3226.152380952381	4080	5348	3
Efm_1	E. faecium	15	2900000	43500000	10447	10370	77	0	77	7759	7694	65	2673	2650	23	46	46	0	3423.6761904761906	3877	8087	6
Efm_1	E. faecium	15	2900000	43500000	8484	8437	47	0	47	6365	6325	40	2103	2095	8	42	42	0	3108.8571428571427	4080	5362	3
