Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efm_1	E. faecium	19	2900000	55100000	8871	8802	69	0	69	6626	6568	58	2227	2211	16	44	44	0	2993.2339181286548	4057	4975	2
Efm_1	E. faecium	19	2900000	55100000	8641	8586	55	0	55	6479	6433	46	2143	2132	11	45	45	0	3158.6315789473683	4035	5349	3
Efm_1	E. faecium	19	2900000	55100000	7332	7296	36	0	36	5382	5353	29	1934	1925	9	39	39	0	2373.2690058479534	3192	5310	3
Efm_1	E. faecium	19	2900000	55100000	8916	8860	56	0	56	6627	6581	46	2276	2264	12	38	38	0	3241.4269005847955	4038	5328	2
Efm_1	E. faecium	19	2900000	55100000	8878	8810	68	0	68	6633	6575	58	2228	2213	15	43	43	0	3066.5497076023394	3741	5353	3
Efm_1	E. faecium	19	2900000	55100000	8778	8709	69	0	69	6587	6528	59	2179	2164	15	39	39	0	3156.625730994152	3999	5337	3
Efm_1	E. faecium	19	2900000	55100000	7030	6995	35	0	35	5208	5180	28	1810	1803	7	35	35	0	2984.058479532164	3903	4848	3
Efm_1	E. faecium	19	2900000	55100000	8752	8684	68	0	68	6571	6513	58	2166	2151	15	41	41	0	3314.970760233918	4252	5348	3
Efm_1	E. faecium	19	2900000	55100000	11739	11638	101	0	101	8816	8729	87	2905	2876	29	49	49	0	3472.3567251461986	3882	8087	6
Efm_1	E. faecium	19	2900000	55100000	8800	8734	66	0	66	6568	6512	56	2215	2202	13	45	45	0	3036.7894736842104	3894	5362	4
