Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Kp_1	K. pneumoniae	57	5400000	307800000	49572	49322	249	1	250	39517	39295	222	9923	9881	42	126	126	0	2735.5708020050124	46	27200	569
Kp_1	K. pneumoniae	57	5400000	307800000	40504	40344	158	2	160	32429	32280	149	7971	7953	18	106	106	0	3592.6359649122805	52	27131	573
Kp_1	K. pneumoniae	57	5400000	307800000	49270	49003	264	3	267	39088	38851	237	10041	9993	48	127	126	1	5143.777568922305	46	26283	532
Kp_1	K. pneumoniae	57	5400000	307800000	40420	40274	144	2	146	32153	32024	129	8159	8132	27	105	104	1	5897.8439849624065	48	26292	577
Kp_1	K. pneumoniae	57	5400000	307800000	64043	63577	461	5	466	50777	50360	417	13110	13028	82	130	128	2	5186.945488721804	37	26882	447
Kp_1	K. pneumoniae	57	5400000	307800000	26448	26443	5	0	5	20842	20838	4	5530	5528	2	86	85	1	2613.752506265664	40	25662	488
Kp_1	K. pneumoniae	57	5400000	307800000	57289	56930	356	3	359	45303	44986	317	11820	11754	66	139	138	1	6654.0526315789475	56	26152	518
Kp_1	K. pneumoniae	57	5400000	307800000	25969	25958	11	0	11	20494	20484	10	5399	5397	2	70	70	0	930.7167919799499	37	24936	496
Kp_1	K. pneumoniae	57	5400000	307800000	40148	40012	135	1	136	31948	31829	119	8109	8083	26	93	92	1	3512.9135338345864	40	26204	578
Kp_1	K. pneumoniae	57	5400000	307800000	39554	39434	120	0	120	31564	31461	103	7894	7866	28	94	94	0	1803.189223057644	36	25570	555
