Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efs_1	E. faecalis	78	2900000	226200000	34632	34438	194	0	194	26953	26786	167	7140	7097	43	93	92	1	6018.789210789211	76	20553	20
Efs_1	E. faecalis	78	2900000	226200000	33876	33694	182	0	182	26467	26311	156	6885	6842	43	95	95	0	6194.9047619047615	79	20527	19
Efs_1	E. faecalis	78	2900000	226200000	34418	34226	192	0	192	26878	26712	166	7002	6958	44	92	91	1	4827.666333666333	65	20573	19
Efs_1	E. faecalis	78	2900000	226200000	34462	34269	193	0	193	26883	26716	167	7041	6998	43	91	91	0	5696.921411921412	64	20861	19
Efs_1	E. faecalis	78	2900000	226200000	34619	34424	195	0	195	26929	26761	168	7149	7105	44	96	95	1	5519.432567432567	73	20886	18
Efs_1	E. faecalis	78	2900000	226200000	34620	34424	196	0	196	26944	26777	167	7129	7084	45	95	95	0	6290.1042291042295	74	20861	20
Efs_1	E. faecalis	78	2900000	226200000	34469	34275	194	0	194	26879	26712	167	7041	6996	45	97	97	0	5764.72027972028	75	20861	19
Efs_1	E. faecalis	78	2900000	226200000	34590	34398	192	0	192	26920	26755	165	7118	7075	43	103	102	1	4872.1345321345325	71	20891	19
Efs_1	E. faecalis	78	2900000	226200000	34556	34360	196	0	196	26924	26755	169	7091	7046	45	96	95	1	7142.862137862138	84	20539	19
Efs_1	E. faecalis	78	2900000	226200000	34688	34492	196	0	196	26976	26808	168	7161	7117	44	100	99	1	6186.700632700633	75	20886	20
