Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sm_1	S. maltophilia	19	4850000	92150000	42981	42604	376	1	377	33936	33586	350	10466	10404	62	118	117	1	7915.222222222223	9734	23240	13286
Sm_1	S. maltophilia	19	4850000	92150000	56850	56198	651	1	652	43806	43209	597	14942	14844	98	141	141	0	9185.713450292398	10471	23741	16704
Sm_1	S. maltophilia	19	4850000	92150000	70556	69517	1026	13	1039	54172	53230	942	18655	18476	179	179	179	0	12903.052631578947	14350	27598	20485
Sm_1	S. maltophilia	19	4850000	92150000	52673	52113	557	3	560	40902	40385	517	13476	13389	87	117	117	0	10363.122807017544	14386	23734	15631
Sm_1	S. maltophilia	19	4850000	92150000	48823	48394	425	4	429	37836	37435	401	12593	12529	64	94	94	0	7898.87134502924	4508	21629	14541
Sm_1	S. maltophilia	19	4850000	92150000	55263	54641	617	5	622	42648	42073	575	14448	14347	101	118	117	1	11245.865497076024	14224	21388	16349
Sm_1	S. maltophilia	19	4850000	92150000	78144	76905	1222	17	1239	59571	58442	1129	21135	20924	211	172	172	0	15715.842105263158	17223	27598	22524
Sm_1	S. maltophilia	19	4850000	92150000	74800	73662	1123	15	1138	57181	56145	1036	20040	19838	202	186	184	2	14429.690058479533	14977	26682	21578
Sm_1	S. maltophilia	19	4850000	92150000	44917	44503	412	2	414	35155	34770	385	11289	11225	64	102	101	1	8903.40350877193	11107	24639	13937
Sm_1	S. maltophilia	19	4850000	92150000	67723	66778	936	9	945	51852	50993	859	18020	17856	164	155	155	0	13860.04678362573	15159	24505	19495
