Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sa_1	S. aureus	4	2800000	11200000	14917	14915	2	0	2	10199	10198	1	4352	4351	1	76	76	0	7293	7194	14390	26
Sa_1	S. aureus	4	2800000	11200000	229	229	0	0	0	69	69	0	149	149	0	9	9	0	114.5	114.5	138	0
Sa_1	S. aureus	4	2800000	11200000	242	242	0	0	0	92	92	0	138	138	0	7	7	0	121.33333333333333	122.5	141	0
Sa_1	S. aureus	4	2800000	11200000	712	712	0	0	0	280	280	0	396	396	0	11	11	0	363.6666666666667	373.5	674	3
Sa_1	S. aureus	4	2800000	11200000	13815	13815	0	0	0	9593	9593	0	3918	3918	0	54	54	0	6903.333333333333	6922	13574	16
Sa_1	S. aureus	4	2800000	11200000	15557	15545	12	0	12	10487	10479	8	4609	4605	4	61	61	0	9434.833333333334	12997.5	13127	27
Sa_1	S. aureus	4	2800000	11200000	14401	14400	1	0	1	9865	9864	1	4215	4215	0	73	73	0	7209	7253	14091	23
Sa_1	S. aureus	4	2800000	11200000	14544	14542	2	0	2	9984	9983	1	4199	4197	2	78	78	0	7269.333333333333	7268.5	14449	23
Sa_1	S. aureus	4	2800000	11200000	13213	13213	0	0	0	8955	8955	0	3943	3943	0	51	51	0	6602	6601	13066	23
Sa_1	S. aureus	4	2800000	11200000	13263	13261	2	0	2	9014	9013	1	3887	3885	2	54	54	0	6626.333333333333	6623.5	13158	31
