Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Kp_1	K. pneumoniae	113	5400000	610200000	50704	50437	266	1	267	40059	39820	239	10467	10425	42	171	170	1	2719.0222819216183	44	27209	561
Kp_1	K. pneumoniae	113	5400000	610200000	58440	58053	383	4	387	46051	45703	348	12189	12125	64	170	169	1	3140.9800884955753	44	27137	487
Kp_1	K. pneumoniae	113	5400000	610200000	58222	57836	381	5	386	45925	45580	345	12102	12038	64	177	176	1	3568.342920353982	45	27209	498
Kp_1	K. pneumoniae	113	5400000	610200000	50464	50213	249	2	251	39745	39525	220	10552	10503	49	150	149	1	4345.060366624526	48	26292	575
Kp_1	K. pneumoniae	113	5400000	610200000	64806	64322	479	5	484	51090	50658	432	13527	13441	86	163	160	3	4766.1317951959545	40	26882	437
Kp_1	K. pneumoniae	113	5400000	610200000	39909	39800	109	0	109	31421	31327	94	8357	8332	25	127	126	1	2634.099557522124	40	25662	570
Kp_1	K. pneumoniae	113	5400000	610200000	64922	64439	478	5	483	50977	50546	431	13737	13656	81	181	180	1	4771.0594184576485	45	27061	446
Kp_1	K. pneumoniae	113	5400000	610200000	49672	49401	269	2	271	39219	38979	240	10288	10238	50	145	144	1	1823.4932048040455	37	26090	528
Kp_1	K. pneumoniae	113	5400000	610200000	64612	64141	466	5	471	50507	50090	417	13878	13797	81	187	185	2	5095.2868204804045	45	26204	440
Kp_1	K. pneumoniae	113	5400000	610200000	65209	64723	479	7	486	51053	50619	434	13936	13848	88	190	188	2	4760.930783817952	46	26203	438
