Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efs_1	E. faecalis	20	2900000	58000000	34011	33821	190	0	190	26729	26564	165	6765	6723	42	79	78	1	9176.405263157894	12913	20484	19
Efs_1	E. faecalis	20	2900000	58000000	27265	27164	101	0	101	21746	21661	85	5158	5133	25	61	61	0	5837.210526315789	77.5	20498	15
Efs_1	E. faecalis	20	2900000	58000000	25677	25584	93	0	93	20235	20156	79	5075	5054	21	49	49	0	4430.236842105263	71	19838	12
Efs_1	E. faecalis	20	2900000	58000000	33151	32977	174	0	174	26217	26065	152	6459	6421	38	63	63	0	5721.952631578947	52.5	20223	16
Efs_1	E. faecalis	20	2900000	58000000	33869	33680	189	0	189	26682	26517	165	6675	6634	41	74	74	0	6833.268421052631	79	20458	18
Efs_1	E. faecalis	20	2900000	58000000	33236	33062	174	0	174	26265	26113	152	6480	6442	38	70	70	0	5740.073684210526	56	20189	17
Efs_1	E. faecalis	20	2900000	58000000	27206	27107	99	0	99	21710	21625	85	5141	5117	24	60	60	0	4618.5684210526315	73	20151	15
Efs_1	E. faecalis	20	2900000	58000000	33912	33726	186	0	186	26717	26556	161	6694	6653	41	76	75	1	7979.4315789473685	122.5	20570	19
Efs_1	E. faecalis	20	2900000	58000000	25922	25828	94	0	94	20342	20263	79	5206	5186	20	55	55	0	9286.726315789474	12920	19983	12
Efs_1	E. faecalis	20	2900000	58000000	33907	33717	190	0	190	26690	26526	164	6722	6680	42	73	72	1	5948.515789473684	73.5	20489	19
