Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sm_1	S. maltophilia	112	4850000	543200000	116120	113457	2612	51	2663	85680	83291	2389	33979	33454	525	303	298	5	11645.22989060489	14390	28842	30902
Sm_1	S. maltophilia	112	4850000	543200000	116435	113765	2616	54	2670	85859	83469	2390	34133	33605	528	306	303	3	11735.312097812097	14362.5	28226	30998
Sm_1	S. maltophilia	112	4850000	543200000	114538	111887	2598	53	2651	84592	82217	2375	33481	32959	522	298	294	4	11225.249517374517	14150	27598	30510
Sm_1	S. maltophilia	112	4850000	543200000	119046	116268	2726	52	2778	87684	85205	2479	35026	34475	551	307	302	5	10985.075933075934	14323.5	28842	31554
Sm_1	S. maltophilia	112	4850000	543200000	111210	108724	2444	42	2486	82168	79942	2226	32454	31966	488	292	287	5	11764.642052767053	14346	28842	29713
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
